L_Loads_lb,d11_in,d21_in,Eexp_d11_psi,Eexp_d21_psi,Est_psi,Eerr_d11,Eerr_d21,theor_d11_in,theor_d21_in,d11_err,d21_err
3,0.242,0.078,28236600.0271788,87605861.6227855,30000000,5.87799990940403,192.019538742618,0.227775240219242,0.227775240219242,6.24508606249999,65.7557160625
6,0.4985,0.161,27415274.6502598,84885182.6904008,30000000,8.61575116580052,182.950608968003,0.455550480438484,0.455550480438484,9.42804835156249,64.658142859375
8,0.661,0.213,27567351.312465,85549385.9978375,30000000,8.10882895844992,185.164619992792,0.607400640584646,0.607400640584646,8.82438308984375,64.9325361601563
10,0.823,0.265,27676213.8784012,85952920.8374499,30000000,7.74595373866251,186.509736124833,0.759250800730807,0.759250800730807,8.39632954062499,65.097172140625
12,0.9375,0.3135,29155230.748063,87186694.8207626,30000000,2.81589750645665,190.622316069209,0.911100960876969,0.911100960876969,2.89748779296874,65.5910800820313
