L2_Loads_lb,d12_in,d22_in,Eexp_d12_psi,Eexp_d22_psi,Est_psi,Eerr_d12,Eerr_d22,theor_d12_in,theor_d22_in,d12_err,d22_err
5,0.1275,0.0515,11165452.9519236,27642626.2401993,30000000,62.7818234935879,7.85791253266899,0.0474531750456755,0.0474531750456755,168.685920125,8.52803832499999
10,0.2565,0.1035,11100157.9054212,27509086.9830003,30000000,62.9994736485961,8.30304338999908,0.0949063500913509,0.0949063500913509,170.2664255375,9.05487346249999
15,0.4095,0.1635,10429269.2408078,26121013.7866103,30000000,65.2357691973074,12.9299540446322,0.142359525137026,0.142359525137026,187.651985075,14.850059975
18,0.494,0.197,10374378.3500667,26014938.6037206,30000000,65.418738833111,13.2835379875981,0.170831430164432,0.170831430164432,189.17395325,15.318357875
20,0.54,0.216,10545150.0101501,26362875.0253753,30000000,64.8494999661663,12.1237499154158,0.189812700182702,0.189812700182702,184.49097425,13.7963897
