L4_Loads_lb,d12_in,d22_in,Eexp_d12_psi,Eexp_d22_psi,Est_psi,Eerr_d12,Eerr_d22,theor_d12_in,theor_d22_in,d12_err,d22_err
20,0.095,0.085,27788548.0856634,31057789.0369179,30000000,7.37150638112195,3.52596345639311,0.0879970689379341,0.0879970689379341,7.95814127287029,3.40587359795816
30,0.151,0.1305,26224292.0675963,30343816.8751497,30000000,12.5856931080124,1.14605625049903,0.131995603406901,0.131995603406901,14.3977496996731,1.13307062379248
40,0.2085,0.1765,25322897.5360962,29914017.7692694,30000000,15.5903415463461,0.286607435768656,0.175994137875868,0.175994137875868,18.4698550283866,0.287431235061076
50,0.2615,0.2215,25238165.0873616,29795847.2701809,30000000,15.872783042128,0.680509099397113,0.219992672344835,0.219992672344835,18.8675955488656,0.685171755540069
55,0.289,0.244,25120270.544566,29753107.3253261,30000000,16.2657648514467,0.822975582246346,0.241991939579319,0.241991939579319,19.4254653697972,0.829804672077884
