L2_Loads_lb,d11_in,d21_in,Eexp_d11_psi,Eexp_d21_psi,Est_psi,Eerr_d11,Eerr_d21,theor_d11_in,theor_d21_in,d11_err,d21_err
10,0.082,0.062,28616932.9879461,37848201.6937351,30000000,4.61022337351311,26.1606723124504,0.0782196168337193,0.0782196168337193,4.83303718339245,20.7359962759716
20,0.152,0.11,30876164.539626,42665245.545665,30000000,2.92054846542007,42.2174851522168,0.156439233667439,0.156439233667439,2.83767285441676,29.685157986749
30,0.23,0.165,30607676.1523249,42665245.545665,30000000,2.0255871744164,42.2174851522168,0.234658850501158,0.234658850501158,1.98537173910461,29.685157986749
35,0.2705,0.192,30362513.0038467,42776352.9559402,30000000,1.20837667948884,42.5878431864674,0.273768658918017,0.273768658918017,1.19394927488621,29.8677939400301
40,0.31,0.2195,30278561.3549881,42762432.8931495,30000000,0.928537849960327,42.5414429771649,0.312878467334877,0.312878467334877,0.919995344964458,29.84496444587
